E[V/cm],diff_coeff[micron/sqrt(cm)]
149.68536456772125, 224.5775884847863
199.4897672850523, 200.66582502423432
249.43848233578083, 186.32179784999582
299.95398428876354, 174.09634473843627
349.2119940114323, 162.3005405485622
398.2795935022507, 153.63706921294823
449.1904925764874, 146.50639832571338
499.81469230250167, 140.98446915311587
548.9016053456995, 136.78029417686838
599.4828939903455, 133.0657549933653
649.115175864713, 129.421080033588
699.8249273658772, 126.01990049751242
749.2049040818771, 122.6959525019694
801.3527422937923, 119.8507462686567
849.1221142304423, 116.98403953387424
898.1904181958068, 115.07462686567163
948.9061658383267, 113.36716863111735
997.2048540570381, 112.08955223880596
1047.0791263628776, 110.57946039130726
1101.8842814596062, 109.30348258706468
1150.046092433965, 108.10945273631842
1199.0359865990706, 106.39940491428021
1246.8361983908094, 104.92537313432834
1292.0880742079958, 103.73134328358208
1323.1647683847073, 102.93532338308455
1361.4449993061291, 102.13930348258708
1410.856413668369, 101.34328358208955
1451.6736350777073, 100.74626865671644
1493.5764332213912, 100.38013405858746
1536.8848676338293, 99.95024875621891
1591.5670554856385, 99.46661769452516
1663.8776307503617, 98.83496290672704
1858.727901889703, 97.36318407960198
2005.6059613660927, 97.36318407960198
2103.241937497448, 97.36318407960198
2226.6993273179155, 97.76119402985074
2346.224475443377, 97.76119402985074
2531.6248762759983, 99.75124378109453
2697.6557545169303, 99.95510330524854
2851.0734567300265, 102.13930348258708
3011.682501547673, 103.94149684092591
3180.4511911863992, 106.11940298507463
3323.1597405392804, 108.321516949184
3514.312190980695, 113.28358208955225
3702.9540430856377, 118.85572139303486
3920.312318723893, 124.02985074626866
4014.6018253280467, 127.61194029850748
4150.429224212449, 131.1940298507463
4311.296674887622, 134.77611940298507
4478.399224461898, 139.1542288557214
4586.1115746320975, 142.7363184079602
4696.4145715485265, 147.1144278606965
4855.309974652209, 151.49253731343285
4972.087604774593, 155.07462686567163
5091.67391548961, 159.2537313432836
5189.410555467656, 162.23880597014926
5339.544415706294, 167.4129353233831
5520.199051151717, 170.9950248756219
5652.968280379668, 176.16915422885575
5816.5132419255915, 180.1492537313433
5984.789691978163, 184.92537313432837
6143.316425809732, 188.10945273631842
6427.089166387955, 193.28358208955223
6613.030073613167, 197.2636815920398
6772.083560199252, 200.44776119402985
7135.596622210094, 206.4179104477612
7412.166869683497, 210
7662.945250656314, 212.7860696517413
7884.640477692505, 215.97014925373134
8229.267014867884, 221.54228855721394
8548.227087210342, 225.12437810945272
8837.442182715893, 227.91044776119404
9267.662430678338, 229.50248756218906
9626.869912218783, 229.90049751243782
10095.520713560118, 230.49751243781097
